# BEGIN HISTOGRAM /REF/CDF_2012_NOTE10874/d01-x01-y01
AidaPath=/REF/CDF_2012_NOTE10874/d01-x01-y01
4.50	5.00	0.9529	0.0215
5.00	6.00	0.9665	0.0225
6.00	7.00	0.9754	0.0221
7.00	8.00	0.9816	0.0251
8.00	10.00	1.0020	0.0241
10.00	15.00	1.0262	0.0311
15.00	20.00	0.9864	0.0494
20.00	25.00	0.9360	0.0506
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CDF_2012_NOTE10874/d03-x01-y03
AidaPath=/REF/CDF_2012_NOTE10874/d03-x01-y03
0.50	1.00	0.6271	0.0126
1.00	1.50	0.7450	0.0150
1.50	2.00	0.8314	0.0167
2.00	2.50	0.8865	0.0178
2.50	3.00	0.9240	0.0186
3.00	3.50	0.9426	0.0190
3.50	4.00	0.9606	0.0196
4.00	4.50	0.9709	0.0198
4.50	5.00	0.9823	0.0202
5.00	6.00	0.9933	0.0204
6.00	7.00	1.0024	0.0211
7.00	8.00	1.0044	0.0210
8.00	10.00	1.0340	0.0228
10.00	15.00	1.0427	0.0244
15.00	20.00	1.0542	0.0382
20.00	25.00	1.0043	0.0393
25.00	30.00	1.0281	0.0471
30.00	35.00	0.9905	0.0516
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CDF_2012_NOTE10874/d01-x01-y04
AidaPath=/REF/CDF_2012_NOTE10874/d01-x01-y04
0.50	1.00	1.3413	0.0720
1.00	1.50	1.4642	0.0471
1.50	2.00	1.6404	0.0451
2.00	2.50	1.7684	0.0461
2.50	3.00	1.8621	0.0446
3.00	3.50	1.9090	0.0544
3.50	4.00	1.8821	0.0511
4.00	4.50	1.9494	0.0651
4.50	5.00	1.9056	0.0726
5.00	6.00	1.9920	0.0672
6.00	7.00	2.0383	0.1061
7.00	8.00	1.9649	0.1777
8.00	10.00	2.0286	0.2042
10.00	15.00	2.4213	0.7309
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CDF_2012_NOTE10874/d01-x01-y05
AidaPath=/REF/CDF_2012_NOTE10874/d01-x01-y05
0.50	1.00	1.2774	0.1091
1.00	1.50	1.3403	0.0635
1.50	2.00	1.4376	0.0466
2.00	2.50	1.4967	0.0445
2.50	3.00	1.5390	0.0371
3.00	3.50	1.5748	0.0465
3.50	4.00	1.5414	0.0448
4.00	4.50	1.5804	0.0479
4.50	5.00	1.5264	0.0551
5.00	6.00	1.5773	0.0551
6.00	7.00	1.6296	0.0855
7.00	8.00	1.5143	0.1388
8.00	10.00	1.6284	0.1634
10.00	15.00	1.8396	0.5567
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CDF_2012_NOTE10874/d01-x01-y06
