### 
### The data in this file is taken from the 2008 Particle Data Book,
### page 355, table 40.1 ("Average Hadron Multiplicities in Hadronic
### e+e- Annihilation Events")
### 



### Pseudoscalar mesons:


# BEGIN HISTOGRAM PiPlus
Title=mean Pi+ multiplicity
10	10	0.023	0.008
91	91	0.076	0.011
# END HISTOGRAM

# BEGIN HISTOGRAM SigmaMinus
Title=mean Sigma- multiplicity
91	91	0.081	0.010
# END HISTOGRAM

# BEGIN HISTOGRAM SigmaPlus
Title=mean Sigma+ multiplicity
91	91	0.107	0.011
# END HISTOGRAM

# BEGIN HISTOGRAM SigmaPlusMinus
Title=mean Sigma+- multiplicity
91	91	0.174	0.009
# END HISTOGRAM

# BEGIN HISTOGRAM XiMinus
Title=mean Xi- multiplicity
10	10	0.0059	0.0007
29	35	0.0176	0.0027
91	91	0.0258	0.0010
# END HISTOGRAM

# BEGIN HISTOGRAM Delta1232PlusPlus
Title=mean Delta(1232)++ multiplicity
10	10	0.040	0.010
91	91	0.085	0.014
# END HISTOGRAM

# BEGIN HISTOGRAM Sigma1385Minus
Title=mean Sigma(1385)- multiplicity
10	10	0.006	0.002
29	35	0.017	0.004
91	91	0.0240	0.0017
# END HISTOGRAM

# BEGIN HISTOGRAM Sigma1385Plus
Title=mean Sigma(1385)+ multiplicity
10	10	0.005	0.001
29	35	0.017	0.004
91	91	0.0239	0.0015
# END HISTOGRAM

# BEGIN HISTOGRAM Sigma1385PlusMinus
Title=mean Sigma(1385)+- multiplicity
10	10	0.0106	0.0020
29	35	0.033	0.008
91	91	0.0462	0.0028
# END HISTOGRAM

# BEGIN HISTOGRAM Xi1530_0
Title=mean Xi(1530)0 multiplicity
10	10	0.0015	0.0006
91	91	0.0055	0.0005
# END HISTOGRAM

# BEGIN HISTOGRAM OmegaMinus
Title=mean Omega- multiplicity
10	10	0.0007	0.0004
29	35	0.014	0.007
91	91	0.0016	0.0003
# END HISTOGRAM

# BEGIN HISTOGRAM Lambda_c_Plus
Title=mean Lambda_c+ multiplicity
10	10	0.074	0.031
29	35	0.110	0.050
91	91	0.078	0.017
# END HISTOGRAM

# BEGIN HISTOGRAM Lambda_b_0
Title=mean Lambda_b0 multiplicity
91	91	0.031	0.016
# END HISTOGRAM

# BEGIN HISTOGRAM Sigma_c_PlusPlus_0
Title=mean Sigma_c++, Sigma_c0 multiplicity
10	10	0.014	0.007
# END HISTOGRAM

# BEGIN HISTOGRAM Lambda1520
Title=mean Lambda(1520) multiplicity
10	10	0.008	0.002
91	91	0.0222	0.0027
# END HISTOGRAM

